,pattern,pattern_rstd,pattern_rzstd,pattern_smalowess_rzstd
51,0.0,0.0,-0.013682458026052651,-0.005899961944484474
52,0.0,0.0,-0.013682458026052651,-0.005967753872587004
53,0.0,0.0,-0.013682458026052651,-0.006035512694872819
54,0.1,0.1,0.49985623501299997,-0.006103238248913603
55,-0.2,-0.2,-1.040759844104158,-0.006170930374098878
56,0.0,0.0,-0.013682458026052651,-0.006238588911786483
57,-0.375,-0.375,-1.9394525569224996,-0.006306213705327954
58,0.0,0.0,-0.013682458026052651,-0.00637380460006274
59,0.1,0.1,0.49985623501299997,-0.006441361443276775
60,-0.175,-0.175,-0.9123751708443947,-0.006508884084196808
61,0.08,0.08,0.39714849640518946,-0.006576372373997255
62,0.0,0.0,-0.013682458026052651,-0.0066438261658759105
63,0.0,0.0,-0.013682458026052651,-0.00671124531534128
64,0.0,0.0,-0.013682458026052651,-0.006778629680294846
65,-0.051851851851851864,-0.051851851851851864,-0.2799617803425985,-0.006845979121022854
66,0.0,0.0,-0.013682458026052651,-0.006913293500195865
67,0.0,0.0,-0.013682458026052651,-0.006980572682873108
68,0.0,0.0,-0.013682458026052651,-0.0070478165365053125
69,0.0,0.0,-0.013682458026052651,-0.007115024930929314
70,0.0,0.0,-0.013682458026052651,-0.007182197738292082
71,-0.125,-0.125,-0.6556058243248685,-0.0072493348328725475
72,0.0,0.0,-0.013682458026052651,-0.007316436091008487
73,0.0,0.0,-0.013682458026052651,-0.007383501391100493
74,0.0,0.0,-0.013682458026052651,-0.007450530613672147
75,-0.1,-0.1,-0.5272211510651053,-0.007517523641504601
76,0.0,0.0,-0.013682458026052651,-0.007584480359733638
77,0.15714285714285714,0.15714285714285714,0.7933069167496013,-0.007651400655858259
78,0.2875,0.2875,1.4627412844612235,-0.007718284419699536
79,-0.15,-0.15,-0.7839904975846316,-0.00778513154339413
80,0.0,0.0,-0.013682458026052651,-0.007851941921337063
81,-0.16666666666666666,-0.16666666666666666,-0.8695802797578069,-0.00791871544996611
82,0.0,0.0,-0.013682458026052651,-0.007985452027824065
83,-0.1875,-0.1875,-0.9765675074742762,-0.008052151555596281
84,0.0,0.0,-0.013682458026052651,-0.008118813936127057
85,0.0,0.0,-0.013682458026052651,-0.00818543907446357
86,0.0,0.0,-0.013682458026052651,-0.008252026877873306
87,0.0,0.0,-0.013682458026052651,-0.008318577255870162
88,0.0,0.0,-0.013682458026052651,-0.008385090120282265
89,0.1,0.1,0.49985623501299997,-0.008451565385198902
90,0.0,0.0,-0.013682458026052651,-0.008518002966892415
91,0.0,0.0,-0.013682458026052651,-0.008584402783564824
92,0.0,0.0,-0.013682458026052651,-0.008650764755254786
93,0.0,0.0,-0.013682458026052651,-0.008717088803698678
94,0.0,0.0,-0.013682458026052651,-0.008783374852304883
95,-0.37777777777777777,-0.37777777777777777,-1.9537175206180288,-0.008849622826134601
96,0.0,0.0,-0.013682458026052651,-0.00891583265179782
97,0.0,0.0,-0.013682458026052651,-0.00898200425743462
98,0.1,0.1,0.49985623501299997,-0.009048137572615154
99,0.0,0.0,-0.013682458026052651,-0.009114232527817038
100,0.0,0.0,-0.013682458026052651,-0.009180289053994397
101,-0.2,-0.2,-1.040759844104158,-0.009246307082507952
102,0.0,0.0,-0.013682458026052651,-0.00931228654519633
103,0.05,0.05,0.24308688849347368,-0.009378227374667404
104,-0.07777777777777779,-0.07777777777777779,-0.41310144150087136,-0.009444129504519684
105,0.0,0.0,-0.013682458026052651,-0.009509992869096285
106,0.0,0.0,-0.013682458026052651,-0.009575817402925728
107,-0.1875,-0.1875,-0.9765675074742762,-0.00964160304083794
108,0.0,0.0,-0.013682458026052651,-0.009707349718086528
109,0.0,0.0,-0.013682458026052651,-0.00977305737056723
110,0.0,0.0,-0.013682458026052651,-0.009838725934926145
111,0.0,0.0,-0.013682458026052651,-0.009904355348414202
112,0.0,0.0,-0.013682458026052651,-0.009969945548847297
113,0.0,0.0,-0.013682458026052651,-0.010035496474702475
114,-0.03576388888888889,-0.03576388888888889,-0.19734386560599157,-0.010101008065558605
115,0.3,0.3,1.526933621091105,-0.010166480262168182
116,0.125,0.125,0.6282409082727631,-0.010231913006683665
117,0.0,0.0,-0.013682458026052651,-0.010297306242806064
118,0.0,0.0,-0.013682458026052651,-0.01036265991574936
119,0.0,0.0,-0.013682458026052651,-0.010427973972303727
120,-0.21,-0.21,-1.092113713408063,-0.010493248360865796
121,0.7,0.7,3.581088393247315,-0.01055848303143723
122,-0.2,-0.2,-1.040759844104158,-0.010623677935597998
123,0.0,0.0,-0.013682458026052651,-0.010688833026596045
124,0.0,0.0,-0.013682458026052651,-0.010753948259456358
125,0.0,0.0,-0.013682458026052651,-0.010819023591068738
126,-0.125,-0.125,-0.6556058243248685,-0.010884058980217673
127,0.0,0.0,-0.013682458026052651,-0.010949054387607274
128,-0.0017857142857142893,-0.0017857142857142893,-0.02285279183032147,-0.011014009775894194
129,0.0,0.0,-0.013682458026052651,-0.01107892510977264
130,0.0,0.0,-0.013682458026052651,-0.011143800356004329
131,0.0,0.0,-0.013682458026052651,-0.011208635483430863
132,0.0,0.0,-0.013682458026052651,-0.01127343046298541
133,0.0,0.0,-0.013682458026052651,-0.011338185267718823
134,0.0,0.0,-0.013682458026052651,-0.011402899872866443
135,0.0,0.0,-0.013682458026052651,-0.011467574255868118
136,-0.15555555555555559,-0.15555555555555559,-0.8125204249756902,-0.011532208396378658
137,0.0,0.0,-0.013682458026052651,-0.011596802276280413
138,0.0,0.0,-0.013682458026052651,-0.01166135587969544
139,0.0,0.0,-0.013682458026052651,-0.011725869192905494
140,0.0,0.0,-0.013682458026052651,-0.01179034220399504
141,-0.125,-0.125,-0.6556058243248685,-0.011854774902772475
142,-0.1875,-0.1875,-0.9765675074742762,-0.011919167280747081
143,0.0,0.0,-0.013682458026052651,-0.011983519330931515
144,-0.05,-0.05,-0.27045180454557893,-0.012047831047575893
145,0.0,0.0,-0.013682458026052651,-0.012112102426085567
146,0.0,0.0,-0.013682458026052651,-0.012176333462890133
147,0.0,0.0,-0.013682458026052651,-0.012240524155423115
148,0.0,0.0,-0.013682458026052651,-0.012304674502093452
149,0.0,0.0,-0.013682458026052651,-0.012368784502092
150,0.0,0.0,-0.013682458026052651,-0.012432854155217025
151,0.0,0.0,-0.013682458026052651,-0.012496883461753767
152,0.0,0.0,-0.013682458026052651,-0.012560872422094027
153,0.0,0.0,-0.013682458026052651,-0.012624821036651345
154,0.0,0.0,-0.013682458026052651,-0.012688729305897536
155,0.0,0.0,-0.013682458026052651,-0.012752597230444092
156,0.0,0.0,-0.013682458026052651,-0.012816424810997476
157,-0.15,-0.15,-0.7839904975846316,-0.012880212048353091
158,0.0,0.0,-0.013682458026052651,-0.012943958943410633
159,0.5,0.5,2.55401100716921,-0.013007665497188379
160,0.0,0.0,-0.013682458026052651,-0.013071331710838262
161,0.0,0.0,-0.013682458026052651,-0.013134957585639252
162,0.0,0.0,-0.013682458026052651,-0.013198543122909448
163,0.0,0.0,-0.013682458026052651,-0.013262088323929054
164,0.0,0.0,-0.013682458026052651,-0.013325593189936686
165,0.0,0.0,-0.013682458026052651,-0.013389057722108123
166,0.0,0.0,-0.013682458026052651,-0.013452481921425116
167,-0.0625,-0.0625,-0.3346441411754605,-0.013515865788653035
168,0.0,0.0,-0.013682458026052651,-0.013579209324323006
169,0.0,0.0,-0.013682458026052651,-0.01364251252862072
170,-0.06944444444444443,-0.06944444444444443,-0.3703065504142835,-0.01370577540136745
171,0.0,0.0,-0.013682458026052651,-0.013768997942033739
172,0.0,0.0,-0.013682458026052651,-0.013832180149854089
173,0.0,0.0,-0.013682458026052651,-0.01389532202424982
174,0.0,0.0,-0.013682458026052651,-0.013958423564946023
175,0.0,0.0,-0.013682458026052651,-0.014021484771987352
176,-0.15555555555555559,-0.15555555555555559,-0.8125204249756902,-0.014084505645782676
177,0.0,0.0,-0.013682458026052651,-0.014147486187280948
178,0.0,0.0,-0.013682458026052651,-0.014210426398181396
179,0.0,0.0,-0.013682458026052651,-0.01427332628100583
180,-0.15555555555555559,-0.15555555555555559,-0.8125204249756902,-0.014336185839176275
181,0.0,0.0,-0.013682458026052651,-0.01439900507704682
