,sentimentr_jockers,sentimentr_jockers_rstd,sentimentr_jockers_rzstd,sentimentr_jockers_smalowess_rzstd
83,-0.015075567228888177,-0.20889318714683733,0.017586614554598208,-0.05858237444594975
84,-0.2,-2.7712812921102032,-0.8029998239281123,-0.058610843480076114
85,-0.08660254037844388,-1.2,-0.29980824383542487,-0.05863926926008372
86,0.0,0.0,0.0844831616202412,-0.05866765188059601
87,0.0,0.0,0.0844831616202412,-0.05869599143944512
88,0.0,0.0,0.0844831616202412,-0.058724288037645414
89,0.17677669529663687,2.4494897427831774,0.8689147082063956,-0.05875254177940632
90,0.0,0.0,0.0844831616202412,-0.05878075277197711
91,0.0,0.0,0.0844831616202412,-0.05880892112529929
92,0.0,0.0,0.0844831616202412,-0.058837046951957774
93,-0.10206207261596577,-1.4142135623730951,-0.36840860296210964,-0.05886513036720663
94,0.0,0.0,0.0844831616202412,-0.05889317148896182
