,pysentimentr_huliu,pysentimentr_huliu_rstd,pysentimentr_huliu_rzstd,pysentimentr_huliu_smalowess_rzstd
92,0.0,0.0,0.2079959180087127,-0.011940833643302782
93,0.0,0.0,0.2079959180087127,-0.012016380585262306
94,0.0,0.0,0.2079959180087127,-0.012091893357233265
95,-1.0,-1.0,-0.9974755587160821,-0.012167371987420402
96,0.0,0.0,0.2079959180087127,-0.012242816506471845
97,0.0,0.0,0.2079959180087127,-0.012318226947532217
98,0.0,0.0,0.2079959180087127,-0.012393603346296146
99,0.0,0.0,0.2079959180087127,-0.012468945741058269
100,0.0,0.0,0.2079959180087127,-0.012544254172762982
101,-2.0,-2.0,-2.202947035440877,-0.012619528685050369
102,0.0,0.0,0.2079959180087127,-0.012694769324269974
103,0.0,0.0,0.2079959180087127,-0.012769976139395735
104,0.0,0.0,0.2079959180087127,-0.012845149182042909
105,0.0,0.0,0.2079959180087127,-0.012920288506481144
