,syuzhetr_afinn,syuzhetr_afinn_rstd,syuzhetr_afinn_rzstd,syuzhetr_afinn_smalowess_rzstd
7852,0,0.0,-0.012946511079982062,-0.015442112684950052
7853,0,0.0,-0.012946511079982062,-0.015654336706330554
7854,0,0.0,-0.012946511079982062,-0.01586639880592976
7855,-2,-2.0,-1.1359318615849647,-0.016078275439253036
7856,-2,-2.0,-1.1359318615849647,-0.016289942883203127
7857,2,2.0,1.1100388394250005,-0.016501377251450896
7858,-1,-1.0,-0.5744391863324734,-0.016712554502558395
7859,4,4.0,2.233024189929983,-0.016923450461263576
7860,2,2.0,1.1100388394250005,-0.017134040832018946
7861,1,1.0,0.5485461641725092,-0.017344301206903036
7862,0,0.0,-0.012946511079982062,-0.017554207078521233
7863,0,0.0,-0.012946511079982062,-0.017763733858423152
7864,1,1.0,0.5485461641725092,-0.01797285689653301
7865,-2,-2.0,-1.1359318615849647,-0.018181551499835663
7866,1,1.0,0.5485461641725092,-0.01838979295361526
7867,0,0.0,-0.012946511079982062,-0.01859755654425797
7868,0,0.0,-0.012946511079982062,-0.018804817576112687
7869,3,3.0,1.6715315146774918,-0.019011551392911847
7870,-3,-3.0,-1.697424536837456,-0.019217733400165974
7871,0,0.0,-0.012946511079982062,-0.019423339078454532
7872,0,0.0,-0.012946511079982062,-0.01962834400509733
7873,0,0.0,-0.012946511079982062,-0.019832723882423506
7874,-1,-1.0,-0.5744391863324734,-0.020036454559804073
7875,3,3.0,1.6715315146774918,-0.02023951205216209
7876,0,0.0,-0.012946511079982062,-0.020441872549390897
7877,0,0.0,-0.012946511079982062,-0.020643512430380845
7878,2,2.0,1.1100388394250005,-0.020844408283507646
7879,4,4.0,2.233024189929983,-0.021044536923156217
7880,-1,-1.0,-0.5744391863324734,-0.021243875402725057
7881,1,1.0,0.5485461641725092,-0.021442401029721385
7882,-2,-2.0,-1.1359318615849647,-0.02164009139628598
7883,-1,-1.0,-0.5744391863324734,-0.02183692440708664
7884,0,0.0,-0.012946511079982062,-0.022032878303383286
7885,6,6.0,3.356009540434966,-0.022227931680563612
7886,1,1.0,0.5485461641725092,-0.022422063489260423
7887,0,0.0,-0.012946511079982062,-0.022615253041023138
7888,-2,-2.0,-1.1359318615849647,-0.022807480036629878
