,afinn,afinn_rstd,afinn_rzstd,afinn_smalowess_rzstd
97,0.0,0.0,0.19752541656756836,0.11059396644626755
98,0.0,0.0,0.19752541656756836,0.11048834177810662
99,2.0,2.0,1.357922772382265,0.11038269893405672
100,0.0,0.0,0.19752541656756836,0.11027703802244897
101,-4.0,-4.0,-2.123269295061825,0.11017135915305273
102,0.0,0.0,0.19752541656756836,0.11006566243706048
103,0.0,0.0,0.19752541656756836,0.10995994798715586
104,0.0,0.0,0.19752541656756836,0.10985421591749536
105,0.0,0.0,0.19752541656756836,0.10974846634367273
106,0.0,0.0,0.19752541656756836,0.10964269938264562
107,0.0,0.0,0.19752541656756836,0.10953691515258951
108,0.0,0.0,0.19752541656756836,0.10943111377285569
109,0.0,0.0,0.19752541656756836,0.10932529536403518
110,0.0,0.0,0.19752541656756836,0.10921946004794772
