,vader,vader_rstd,vader_rzstd,vader_smalowess_rzstd
85,0.4404,2.5814771395076197,1.0788530300910046,0.018643858900547185
86,0.15549999999999997,0.9114888628370454,0.3410927892618018,0.01863690832888676
87,0.3612,2.1172332942555685,0.8737613801307631,0.01862999607529987
88,0.3612,2.1172332942555685,0.8737613801307631,0.01862312205311691
89,0.0,0.0,-0.06158084165761212,0.01861628617500883
90,0.0,0.0,-0.06158084165761212,0.018609488352980718
91,0.0,0.0,-0.06158084165761212,0.018602728498367898
92,-0.34,-1.9929660023446656,-0.9420247935071346,0.01859600652183001
93,-1.1846999999999999,-6.9443141852286026,-3.1294101056462273,0.01858932233334729
94,-0.9638,-5.649472450175849,-2.5573804910475237,0.01858267584221392
95,0.0,0.0,-0.06158084165761212,0.01857606695703469
