,syuzhetr_nrc,syuzhetr_nrc_rstd,syuzhetr_nrc_rzstd,syuzhetr_nrc_smalowess_rzstd
97,0.0,0.0,0.031674104945872326,0.0327038654655159
98,1.0,1.0,1.149096796851647,0.03256265535659461
99,1.0,1.0,1.149096796851647,0.03242149529073199
100,0.0,0.0,0.031674104945872326,0.03228038528048657
101,-1.0,-1.0,-1.0857485869599024,0.032139325336895994
102,-1.0,-1.0,-1.0857485869599024,0.031998315469554534
103,0.0,0.0,0.031674104945872326,0.031857355686995104
104,1.0,1.0,1.149096796851647,0.03171644599671288
105,-1.0,-1.0,-1.0857485869599024,0.03157558640498536
106,0.0,0.0,0.031674104945872326,0.03143477691705252
107,-1.0,-1.0,-1.0857485869599024,0.031294017537299774
108,0.0,0.0,0.031674104945872326,0.03115330826912773
109,0.0,0.0,0.031674104945872326,0.03101264911513463
110,0.0,0.0,0.031674104945872326,0.03087204007735628
