,pysentimentr_jockersrinker,pysentimentr_jockersrinker_rstd,pysentimentr_jockersrinker_rzstd,pysentimentr_jockersrinker_smalowess_rzstd
80,-0.5,-0.5555555555555556,-0.6532754320318749,0.05476805732512074
81,-0.44999999999999996,-0.49999999999999994,-0.5879529576383621,0.054701298684339664
82,0.0,0.0,-5.068809674699342e-05,0.054634683748677366
83,-0.25,-0.2777777777777778,-0.32666306006431095,0.054568212113837
84,0.0,0.0,-5.068809674699342e-05,0.05450188336561441
85,-0.25,-0.2777777777777778,-0.32666306006431095,0.054435697078763445
86,-0.25,-0.2777777777777778,-0.32666306006431095,0.054369652816798356
87,0.5,0.5555555555555556,0.653174055838381,0.05430375013253309
88,0.75,0.8333333333333333,0.9797864278059448,0.05423798856863001
89,0.0,0.0,-5.068809674699342e-05,0.054172367657751054
90,0.0,0.0,-5.068809674699342e-05,0.05410688692278675
91,0.0,0.0,-5.068809674699342e-05,0.054041545876445975
