,textblob,textblob_rstd,textblob_rzstd,textblob_smalowess_rzstd
87,0.3,2.9999999999999996,0.7417734226607323,0.04683135625029048
88,0.3,2.9999999999999996,0.7417734226607323,0.04671567022428608
89,0.0,0.0,-0.13665593429217587,0.04660000647281373
90,0.25,2.5,0.5953685298352478,0.0464843647199702
91,0.0,0.0,-0.13665593429217587,0.046368744685879246
92,-0.6,-5.999999999999999,-1.8935146481979923,0.04625314608704767
93,-0.4,-4.0,-1.3078950768960536,0.046137568636497
94,-0.6999999999999998,-6.999999999999998,-2.1863244338489616,0.04602201204381803
95,0.16666666666666666,1.6666666666666665,0.3513603751261065,0.045906476015225094
96,0.3,2.9999999999999996,0.7417734226607323,0.045790960253610756
97,0.17500000000000002,1.75,0.3757611905970207,0.04567546445860127
98,0.0,0.0,-0.13665593429217587,0.045559988326564424
