,pysentimentr_nrc,pysentimentr_nrc_rstd,pysentimentr_nrc_rzstd,pysentimentr_nrc_smalowess_rzstd
96,0.0,0.0,0.0422256982293248,0.05023908595692789
97,0.0,0.0,0.0422256982293248,0.05009362981489506
98,1.0,1.0,1.1412878950722902,0.049948216139038736
99,1.0,1.0,1.1412878950722902,0.049802844957813744
100,0.0,0.0,0.0422256982293248,0.049657516298500674
101,-1.0,-1.0,-1.0568364986136407,0.04951223018718422
102,-1.0,-1.0,-1.0568364986136407,0.04936698664883038
103,0.0,0.0,0.0422256982293248,0.04922178570767415
104,1.0,1.0,1.1412878950722902,0.049076627387244644
105,-1.0,-1.0,-1.0568364986136407,0.04893151171018508
106,0.0,0.0,0.0422256982293248,0.04878643869843511
107,-1.0,-1.0,-1.0568364986136407,0.04864140837341294
108,0.0,0.0,0.0422256982293248,0.04849642075588661
109,0.0,0.0,0.0422256982293248,0.04835147586615636
