,pysentimentr_lmcd,pysentimentr_lmcd_rstd,pysentimentr_lmcd_rzstd,pysentimentr_lmcd_smalowess_rzstd
96,0.0,0.0,0.13542073650104156,0.05849119029480949
97,0.0,0.0,0.13542073650104156,0.058401588370492974
98,0.0,0.0,0.13542073650104156,0.058312014396005855
99,0.0,0.0,0.13542073650104156,0.05822246810411981
100,0.0,0.0,0.13542073650104156,0.05813294922218976
101,0.0,0.0,0.13542073650104156,0.0580434574721217
102,0.0,0.0,0.13542073650104156,0.057953992570419305
103,0.0,0.0,0.13542073650104156,0.05786455422858848
104,0.0,0.0,0.13542073650104156,0.0577751421537756
105,0.0,0.0,0.13542073650104156,0.05768575604939009
106,1.0,1.0,2.1714715097942014,0.057596395615187
107,0.0,0.0,0.13542073650104156,0.05750706054720461
108,0.0,0.0,0.13542073650104156,0.057417750537702116
109,0.0,0.0,0.13542073650104156,0.057328465275098155
