,pysentimentr_jockersrinker,pysentimentr_jockersrinker_rstd,pysentimentr_jockersrinker_rzstd,pysentimentr_jockersrinker_smalowess_rzstd
45,-0.5,-2.0,-0.6093372368984864,3.563505324904132e-05
46,0.0,0.0,0.12684073859189898,-2.174546271472875e-05
47,-1.05,-4.2,-1.4191330099379103,-7.909203352148933e-05
48,0.0,0.0,0.12684073859189898,-0.00013640456077007818
49,0.0,0.0,0.12684073859189898,-0.0001936829483562254
50,0.0,0.0,0.12684073859189898,-0.0002509271024988068
51,0.25,1.0,0.49492972633709165,-0.0003081369318895295
52,0.0,0.0,0.12684073859189898,-0.00036531234754692783
53,-0.9,-3.6,-1.1982796172907946,-0.0004224532627976445
54,-0.5,-2.0,-0.6093372368984864,-0.00047955959335573635
55,-0.5,-2.0,-0.6093372368984864,-0.0005366312573886018
56,0.0,0.0,0.12684073859189898,-0.0005936681750598817
57,-1.75,-7.0,-2.4497821756244496,-0.0006506702684392089
58,-0.25,-1.0,-0.24124824915329368,-0.0007076374615054754
59,0.9,3.6,1.4519610944745927,-0.0007645696800297162
60,0.0,0.0,0.12684073859189898,-0.0008214668515794945
61,0.0,0.0,0.12684073859189898,-0.000878328905512984
62,-0.25,-1.0,-0.24124824915329368,-0.0009351557728679913
63,0.0,0.0,0.12684073859189898,-0.0009919473865919552
64,0.0,0.0,0.12684073859189898,-0.0010487036817622764
65,-0.75,-3.0,-0.9774262246436789,-0.0011054245956586026
66,0.0,0.0,0.12684073859189898,-0.0011621100678171825
67,0.25,1.0,0.49492972633709165,-0.0012187600400924705
68,0.0,0.0,0.12684073859189898,-0.001275374456571586
69,-0.5,-2.0,-0.6093372368984864,-0.001331953263578828
70,-0.75,-3.0,-0.9774262246436789,-0.001388496409715514
71,0.0,0.0,0.12684073859189898,-0.001445003845637673
72,0.0,0.0,0.12684073859189898,-0.0015014755230533952
73,-0.3500000000000001,-1.4000000000000004,-0.3884838442513709,-0.0015579113945113456
74,0.0,0.0,0.12684073859189898,-0.0016143114135073898
75,-0.85,-3.4,-1.124661819741756,-0.0016706755347555083
76,0.0,0.0,0.12684073859189898,-0.0017270037143264476
77,1.15,4.6,1.820050082219785,-0.001783295909688013
78,0.5,2.0,0.8630187140822844,-0.0018395520791993478
79,-1.4500000000000002,-5.800000000000001,-2.0080753903302186,-0.0018957721820583983
80,0.0,0.0,0.12684073859189898,-0.0019519561784923868
81,0.0,0.0,0.12684073859189898,-0.0020081040297068586
82,0.0,0.0,0.12684073859189898,-0.002064215697899735
83,-0.25,-1.0,-0.24124824915329368,-0.0021202911463114706
84,-0.4,-1.6,-0.4621016418004093,-0.002176330339274531
85,-0.30000000000000004,-1.2000000000000002,-0.3148660467023323,-0.0022323332423180415
86,0.0,0.0,0.12684073859189898,-0.0022882998223819426
87,0.0,0.0,0.12684073859189898,-0.0023442300477010325
88,0.0,0.0,0.12684073859189898,-0.002400123887798363
89,0.5,2.0,0.8630187140822844,-0.002455981313498776
90,0.0,0.0,0.12684073859189898,-0.0025118022967324416
91,0.0,0.0,0.12684073859189898,-0.0025675868101223244
92,0.0,0.0,0.12684073859189898,-0.002623334826855122
93,-0.25,-1.0,-0.24124824915329368,-0.002679046320427445
94,0.0,0.0,0.12684073859189898,-0.002734721264565781
95,-0.5,-2.0,-0.6093372368984864,-0.0027903596332199848
96,0.8,3.2,1.3047254993765156,-0.0028459614004406565
97,0.0,0.0,0.12684073859189898,-0.002901526540386847
98,0.0,0.0,0.12684073859189898,-0.0029570550273409794
99,0.5,2.0,0.8630187140822844,-0.0030125468356163717
100,0.0,0.0,0.12684073859189898,-0.003068001939572272
101,-1.75,-7.0,-2.4497821756244496,-0.0031234203136640162
