,sentimentr_loughran_mcdonald,sentimentr_loughran_mcdonald_rstd,sentimentr_loughran_mcdonald_rzstd,sentimentr_loughran_mcdonald_smalowess_rzstd
93,0.0,0.0,0.18390750351302074,0.02424063835617632
94,0.0,0.0,0.18390750351302074,0.02420929891776856
95,0.0,0.0,0.18390750351302074,0.024177975982943162
96,0.0,0.0,0.18390750351302074,0.02414666940016898
97,0.0,0.0,0.18390750351302074,0.02411537901644499
98,0.0,0.0,0.18390750351302074,0.024084104677370478
99,0.0,0.0,0.18390750351302074,0.024052846227590807
100,0.0,0.0,0.18390750351302074,0.024021603510865908
101,0.0,0.0,0.18390750351302074,0.023990376370014374
102,0.0,0.0,0.18390750351302074,0.023959164646858846
103,0.0,0.0,0.18390750351302074,0.023927968182169475
104,0.0,0.0,0.18390750351302074,0.02389678681560987
105,0.0,0.0,0.18390750351302074,0.023865620385681244
106,0.0,0.0,0.18390750351302074,0.023834468729669663
